anomaly_type,rows,positive_support,negative_support,prevalence,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,f2,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,specificity,brier_score,expected_calibration_error_10_bin,pr_auc,roc_auc
failure_rate_spike+conflicting_reported_balance+local_market_event,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04665164037194257,0.21543794400000016,,
failure_rate_spike+conflicting_reported_balance+remittance_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04313473639474477,0.20733078375000008,,
failure_rate_spike+delayed_ingestion+legitimate_network_recovery_burst,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0602700393082281,0.24511487500000007,,
failure_rate_spike+delayed_ingestion+legitimate_round_amounts,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.048319325027003576,0.2193966728571427,,
failure_rate_spike+delayed_ingestion+local_market_event,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06036417242755442,0.24509442999999986,,
failure_rate_spike+delayed_ingestion+weather_recovery_catchup,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05279338159010383,0.22964011714285704,,
failure_rate_spike+duplicate_source_events+legitimate_network_recovery_burst,30,30,0,1.0,1.0,0,0,0,30,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0599558006463642,0.24453084199999986,,
failure_rate_spike+duplicate_source_events+remittance_payment_day,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.053273899848157454,0.22998632800000007,,
failure_rate_spike+missing_interval+large_expected_merchant_activity,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04242561562596599,0.2054746107692308,,
failure_rate_spike+missing_interval+legitimate_network_recovery_burst,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04699761812844779,0.21636540000000007,,
failure_rate_spike+missing_interval+weather_recovery_catchup,32,32,0,1.0,1.0,0,0,0,32,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0463871860394247,0.21508733624999993,,
failure_rate_spike+out_of_order_ingestion+legitimate_round_amounts,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.047775549264158924,0.21832043624999997,,
failure_rate_spike+out_of_order_ingestion+local_market_event,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05310113830580011,0.230005625,,
failure_rate_spike+out_of_order_ingestion+weather_recovery_catchup,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04770762216577422,0.2179257876923078,,
failure_rate_spike+partial_provider_outage+eid_demand_surge,12,12,0,1.0,0.9166666666666666,0,0,1,11,1.0,0.9166666666666666,0.9565217391304348,0.9322033898305084,0.9166666666666666,0.9166666666666666,,0.08333333333333333,,0.1245741546583512,0.29990362000000015,,
failure_rate_spike+partial_provider_outage+legitimate_network_recovery_burst,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06009062674725,0.24478149999999987,,
failure_rate_spike+partial_provider_outage+university_admission_period,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04956173068476865,0.22248058399999993,,
failure_rate_spike+replayed_transaction_batch+eid_demand_surge,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05540735154036569,0.2349911750000001,,
failure_rate_spike+replayed_transaction_batch+government_payment_day,41,41,0,1.0,1.0,0,0,0,41,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04716601235168488,0.21673569951219507,,
failure_rate_spike+replayed_transaction_batch+local_market_event,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0506823697365791,0.2245962214285715,,
failure_rate_spike+replayed_transaction_batch+university_admission_period,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0436124581368366,0.2083877799999999,,
failure_rate_spike+replayed_transaction_batch+weather_recovery_catchup,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04583899990724709,0.21394498285714295,,
failure_rate_spike+schema_error_simulation+legitimate_round_amounts,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.09685493224897262,0.2639135816666667,,
government_payment_day,582,0,582,0.0,0.15807560137457044,490,92,0,0,0.0,0.0,0.0,0.0,0.8419243986254296,0.8419243986254296,0.15807560137457044,,0.8419243986254296,0.025302766788113287,0.1351967781958763,,
hidden_provider_shortage,161,161,0,1.0,0.8385093167701864,0,0,26,135,1.0,0.8385093167701864,0.9121621621621622,0.8664955070603337,0.8385093167701864,0.8385093167701864,,0.16149068322981366,,0.2364713694904033,0.4320251199378881,,
hidden_provider_shortage+cached_balance_as_current+eid_demand_surge,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06675821958650803,0.25773056823529417,,
hidden_provider_shortage+cached_balance_as_current+government_payment_day,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06695324319102151,0.25842515499999996,,
hidden_provider_shortage+cached_balance_as_current+salary_day_surge,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06773050189822936,0.25998195428571425,,
hidden_provider_shortage+cached_balance_as_current+university_admission_period,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06598031853344838,0.25614614999999996,,
hidden_provider_shortage+cached_balance_as_current+weather_recovery_catchup,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06358780480294013,0.25189817625,,
hidden_provider_shortage+conflicting_reported_balance+government_payment_day,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06528120046285128,0.25456653882352936,,
hidden_provider_shortage+conflicting_reported_balance+legitimate_network_recovery_burst,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06912723369170305,0.26265083199999995,,
hidden_provider_shortage+conflicting_reported_balance+local_market_event,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07073895006836849,0.2652853350000001,,
